step,train_loss,eval_loss,accuracy,f1_score
0,,0.6927873920171689,,
1,2.6084842681884766,,,
3,2.4900410175323486,,,
5,2.2508230209350586,,,
7,2.259016752243042,,,
9,2.2862679958343506,,,
11,2.2668867111206055,,,
13,2.3749594688415527,,,
15,2.236349582672119,,,
17,2.2727177143096924,,,
19,2.2604193687438965,,,
21,2.28403639793396,,,
23,2.2533700466156006,,,
25,2.251075267791748,,,
27,2.2367868423461914,,,
29,2.2465765476226807,,,
31,2.2412829399108887,,,
33,2.2650012969970703,,,
35,2.2621378898620605,,,
37,2.2621164321899414,,,
39,2.2469675540924072,,,
41,2.2440967559814453,,,
43,2.2403147220611572,,,
45,2.235557794570923,,,
47,2.235635757446289,,,
49,2.2353451251983643,,,
51,2.2394983768463135,,,
53,2.2222554683685303,,,
55,2.248647451400757,,,
57,2.2452094554901123,,,
59,2.249427080154419,,,
61,2.20462965965271,,,
63,2.2254703044891357,,,
65,2.2384650707244873,,,
67,2.2349817752838135,,,
69,2.2257614135742188,,,
71,2.2185442447662354,,,
73,2.1993682384490967,,,
75,2.210217237472534,,,
77,2.167893648147583,,,
79,2.204983949661255,,,
81,2.1848859786987305,,,
83,2.1558027267456055,,,
85,2.1925723552703857,,,
87,2.1186273097991943,,,
89,2.104038953781128,,,
91,2.1071457862854004,,,
93,2.1570146083831787,,,
95,2.107633590698242,,,
97,2.0826685428619385,,,
99,2.0928356647491455,,,
101,2.085937976837158,,,
103,1.9964606761932373,,,
105,1.995360016822815,,,
107,2.0161025524139404,,,
109,1.9301104545593262,,,
111,2.019975185394287,,,
113,1.9719206094741821,,,
115,2.067044258117676,,,
117,2.005260467529297,,,
119,1.9027435779571533,,,
121,1.8435693979263306,,,
123,1.681957483291626,,,
125,1.8825844526290894,,,
127,2.0569205284118652,,,
129,1.999929666519165,,,
131,1.871716022491455,,,
133,1.97356379032135,,,
135,1.804735541343689,,,
137,1.5854555368423462,,,
139,1.8141181468963623,,,
141,1.6919641494750977,,,
143,1.8653807640075684,,,
145,1.586901068687439,,,
147,1.7586332559585571,,,
149,1.757403016090393,,,
151,1.6206477880477905,,,
153,1.5562160015106201,,,
155,1.7133159637451172,,,
157,1.719742774963379,,,
159,1.5309277772903442,,,
161,1.737823724746704,,,
163,1.7482588291168213,,,
165,1.811018466949463,,,
167,1.6942898035049438,,,
169,1.6791692972183228,,,
171,1.6399890184402466,,,
173,1.4590232372283936,,,
175,1.5467127561569214,,,
177,1.6026103496551514,,,
179,1.6324760913848877,,,
181,1.6126166582107544,,,
183,1.6356664896011353,,,
185,1.723299264907837,,,
187,1.4796173572540283,,,
189,1.4030530452728271,,,
191,1.6199593544006348,,,
193,1.5227141380310059,,,
195,1.5411959886550903,,,
197,1.664902925491333,,,
199,1.5302129983901978,,,
201,1.7878929376602173,,,
203,1.3315317630767822,,,
205,1.6953152418136597,,,
207,1.6024435758590698,,,
209,1.9046517610549927,,,
211,1.6047308444976807,,,
213,1.3690775632858276,,,
215,1.3453408479690552,,,
217,1.796532392501831,,,
219,1.6387054920196533,,,
221,1.4428019523620605,,,
223,1.5448195934295654,,,
225,1.465505599975586,,,
227,1.3581117391586304,,,
229,1.574134111404419,,,
231,1.7308906316757202,,,
233,1.566629409790039,,,
235,1.48580801486969,,,
237,1.2381529808044434,,,
239,1.5267956256866455,,,
241,1.341534972190857,,,
243,1.4323185682296753,,,
245,1.3509559631347656,,,
247,1.4217876195907593,,,
249,1.244145393371582,,,
251,1.3593456745147705,,,
253,1.3917920589447021,,,
255,1.386252760887146,,,
257,1.1659330129623413,,,
259,1.2817507982254028,,,
261,1.2037110328674316,,,
263,1.2676864862442017,,,
265,1.3929789066314697,,,
267,1.3266839981079102,,,
269,1.0892281532287598,,,
271,1.7430498600006104,,,
273,1.3936021327972412,,,
275,1.4292129278182983,,,
277,1.4356586933135986,,,
279,1.167527675628662,,,
281,1.1144734621047974,,,
283,1.2043715715408325,,,
285,1.221383810043335,,,
287,1.205535888671875,,,
289,1.4019911289215088,,,
291,1.4266772270202637,,,
293,1.663094162940979,,,
295,1.437490701675415,,,
297,1.5814898014068604,,,
299,1.393349528312683,,,
300,,0.5414696351075784,,
301,1.341036319732666,,,
303,1.5736074447631836,,,
305,1.1620184183120728,,,
307,1.263612151145935,,,
309,0.3100811839103699,,0.06517311608961303,0.031511566988682266
311,1.2038452625274658,,,
313,1.2857334613800049,,,
315,1.2882522344589233,,,
317,1.2378814220428467,,,
319,1.2892439365386963,,,
321,1.1935856342315674,,,
323,1.2993844747543335,,,
325,1.3342567682266235,,,
327,1.055006742477417,,,
329,1.4746562242507935,,,
331,1.0612680912017822,,,
333,1.1291656494140625,,,
335,1.0637197494506836,,,
337,1.0127301216125488,,,
339,1.250807762145996,,,
341,1.3284021615982056,,,
343,1.0274397134780884,,,
345,1.119714617729187,,,
347,1.1543387174606323,,,
349,1.0979230403900146,,,
351,1.3177642822265625,,,
353,0.9146080017089844,,,
355,1.1591216325759888,,,
357,1.324064016342163,,,
359,1.0525137186050415,,,
361,1.1127967834472656,,,
363,1.1249163150787354,,,
365,1.0009946823120117,,,
367,1.4705816507339478,,,
369,1.290841817855835,,,
371,1.0066288709640503,,,
373,0.9050580859184265,,,
375,1.0704456567764282,,,
377,1.0110340118408203,,,
379,1.2411115169525146,,,
381,1.1407774686813354,,,
383,1.1252124309539795,,,
385,0.8640574812889099,,,
387,1.245107889175415,,,
389,1.076156497001648,,,
391,1.0591650009155273,,,
393,0.9350926876068115,,,
395,1.136656641960144,,,
397,1.021257758140564,,,
399,1.1874030828475952,,,
401,1.1467164754867554,,,
403,1.1579976081848145,,,
405,1.44325590133667,,,
407,0.8912721872329712,,,
409,1.178483009338379,,,
411,1.207409143447876,,,
413,1.363415241241455,,,
415,1.1594256162643433,,,
417,1.0323288440704346,,,
419,1.0971027612686157,,,
421,0.9547742009162903,,,
423,0.9416192770004272,,,
425,1.1611284017562866,,,
427,0.9391226768493652,,,
429,0.8420512080192566,,,
431,1.044426679611206,,,
433,1.149369716644287,,,
435,1.1227527856826782,,,
437,1.2402477264404297,,,
439,1.1053780317306519,,,
441,1.1123002767562866,,,
443,1.1647323369979858,,,
445,1.0124200582504272,,,
